iter	Logloss
0	0.659898248
1	0.6271787697
2	0.5977887208
3	0.5727620545
4	0.5519068715
5	0.5335182307
6	0.5168730993
7	0.5000063102
8	0.4894850844
9	0.4750077668
10	0.4593263269
11	0.4435986503
12	0.4313677354
13	0.4239264237
14	0.4169277194
15	0.4059332885
16	0.3984683651
17	0.3941547782
18	0.3835690816
19	0.3770283563
20	0.372771843
21	0.3658380949
22	0.3587615361
23	0.3530860546
24	0.3457860823
25	0.3418580761
26	0.3371559593
27	0.3320000407
28	0.327472981
29	0.3257453093
30	0.321816531
31	0.3186207398
32	0.3153779165
33	0.3123929798
34	0.3083517282
35	0.3050474875
36	0.3018878325
37	0.2990031559
38	0.2972996248
39	0.2948489455
40	0.292695318
41	0.2908955796
42	0.2882888362
43	0.2866761947
44	0.2837943771
45	0.2812176625
46	0.27982456
47	0.2783952667
48	0.277012652
49	0.2746731825
50	0.2733109069
51	0.2718928203
52	0.2707648141
53	0.2693115182
54	0.2679343542
55	0.266363349
56	0.2643806139
57	0.2620813698
58	0.2600950239
59	0.2588819472
60	0.2577806609
61	0.257056937
62	0.2559085358
63	0.2541011058
64	0.2531875951
65	0.2523872332
66	0.2510102464
67	0.2501222641
68	0.2494111226
69	0.2488854777
70	0.2472958053
71	0.2467624768
72	0.2460771287
73	0.2452797324
74	0.2444226974
75	0.2432310862
76	0.2419279783
77	0.2411979268
78	0.2406927653
79	0.2401580506
80	0.2395050558
81	0.2385764123
82	0.2378591968
83	0.2371348107
84	0.2363321816
85	0.2355713806
86	0.2342638983
87	0.2332817536
88	0.2327476047
89	0.2320287844
90	0.2313399072
91	0.2304260251
92	0.2294937882
93	0.2290440453
94	0.2286249883
95	0.2280424945
96	0.2275427697
97	0.2268597714
98	0.2264228334
99	0.2258662566
100	0.2254300093
101	0.224697247
102	0.2234981432
103	0.2231687363
104	0.2228049533
105	0.2223858165
106	0.2216732826
107	0.2212767114
108	0.2207499857
109	0.2199335253
110	0.2193724864
111	0.2190146431
112	0.2186956299
113	0.2180827623
114	0.2177201923
115	0.2172043806
116	0.216811159
117	0.2164697428
118	0.2160167832
119	0.2157423608
120	0.214947725
121	0.2143024258
122	0.2138660112
123	0.2134163856
124	0.2129185542
125	0.2124458535
126	0.2121461889
127	0.2117853731
128	0.2115063117
129	0.2109535351
130	0.2104859473
131	0.2095252497
132	0.2091117171
133	0.2080369185
134	0.2076678497
135	0.2071402661
136	0.2067376376
137	0.2064385823
138	0.2061713722
139	0.2056218893
140	0.2050059778
141	0.2047024493
142	0.2039707226
143	0.2035938046
144	0.2030177217
145	0.2026608938
146	0.202455556
147	0.2020821548
148	0.2017500672
149	0.2014895296
150	0.2012968533
151	0.2008185795
152	0.20059896
153	0.2003425448
154	0.1995792678
155	0.199282976
156	0.1989244493
157	0.1984656077
158	0.1981005225
159	0.1976541442
160	0.196945204
161	0.196557016
162	0.1961497997
163	0.1956759868
164	0.1952811313
165	0.1949960749
166	0.1947564961
167	0.1939406858
168	0.1936775057
169	0.1932695202
170	0.1929664625
171	0.1925772308
172	0.1923080059
173	0.1920504847
174	0.1918530238
175	0.1917395793
176	0.1914345401
177	0.1910865631
178	0.1906935596
179	0.1904776255
180	0.1902286769
181	0.1898143789
182	0.189553793
183	0.1888995169
184	0.1885638212
185	0.1879404738
186	0.1877259824
187	0.1875835112
188	0.1874376317
189	0.1872161619
190	0.1870154047
191	0.1868095994
192	0.1865396094
193	0.1862641716
194	0.1862604941
195	0.1859675127
196	0.1857998787
197	0.1853643619
198	0.1850043618
199	0.184736338
200	0.1844388729
201	0.1843013627
202	0.18382702
203	0.1835748823
204	0.1832463533
205	0.1829914319
206	0.1827734341
207	0.1825342331
208	0.1823082748
209	0.1820532311
210	0.1815703865
211	0.1813796046
212	0.1811374356
213	0.1808591952
214	0.180392182
215	0.1801949515
216	0.1800721384
217	0.1795480216
218	0.1793062358
219	0.1790431342
220	0.1785255644
221	0.1782831851
222	0.1780470217
223	0.1777058297
224	0.1775598848
225	0.1773540321
226	0.1771406109
227	0.1769879321
228	0.1766623338
229	0.1762861706
230	0.1759305523
231	0.1755892421
232	0.1752754691
233	0.1749995624
234	0.1748267645
235	0.1745207404
236	0.1743499858
237	0.1740911491
238	0.1738875886
239	0.1735587935
240	0.1730556106
241	0.1727756611
242	0.1724562987
243	0.1721758373
244	0.1719501064
245	0.1716890872
246	0.1715517776
247	0.1714100762
248	0.1711884013
249	0.1709943314
250	0.1705225187
251	0.169981471
252	0.1698473731
253	0.1697085509
254	0.1695471906
255	0.1692910059
256	0.1689347451
257	0.1687075974
258	0.1684594381
259	0.1681144656
260	0.1677961084
261	0.1675825344
262	0.1673862855
263	0.1670862634
264	0.1668085705
265	0.1664330125
266	0.1660831071
267	0.1659389407
268	0.1656478099
269	0.1655472552
270	0.1651923636
271	0.1649986535
272	0.1646242499
273	0.1644194252
274	0.1642946613
275	0.1640690873
276	0.1638164482
277	0.1635404524
278	0.1633225404
279	0.1631558671
280	0.1627507952
281	0.1624907163
282	0.1621723794
283	0.1619952352
284	0.1617859118
285	0.1615771844
286	0.1614291745
287	0.1612036142
288	0.1610591664
289	0.1608842366
290	0.1607013285
291	0.1605682465
292	0.1602996176
293	0.160209936
294	0.1600166889
295	0.1598077715
296	0.1594983573
297	0.159362512
298	0.1591891513
299	0.15901604
300	0.1587618651
301	0.1585800995
302	0.1582450437
303	0.1580390187
304	0.1577172743
305	0.1575778219
306	0.1573759949
307	0.1572312349
308	0.1570775909
309	0.1568427498
310	0.1567011201
311	0.1562763212
312	0.1559674141
313	0.155723995
314	0.155471957
315	0.1551559383
316	0.1548809319
317	0.1546763663
318	0.1542816694
319	0.1540867882
320	0.1538582711
321	0.1535406603
322	0.1532828754
323	0.1530304022
324	0.1528286139
325	0.1525408359
326	0.1523208515
327	0.1519517656
328	0.151813886
329	0.1515426036
330	0.1512618856
331	0.1510600671
332	0.1507662789
333	0.1506556209
334	0.1504746099
335	0.1503405477
336	0.1501565303
337	0.1499063081
338	0.149814683
339	0.1496756286
340	0.1495416786
341	0.149293656
342	0.149136561
343	0.1488810552
344	0.1487077521
345	0.1485403291
346	0.1483439736
347	0.1482131126
348	0.1480326343
349	0.1478543942
350	0.1477579162
351	0.1474419091
352	0.1472051143
353	0.1470499248
354	0.1468338104
355	0.1467093648
356	0.1465143163
357	0.1463425741
358	0.1462413174
359	0.1460423966
360	0.1458511225
361	0.1454859157
362	0.1453750866
363	0.1452009756
364	0.1450600252
365	0.144828812
366	0.1445970116
367	0.1443653367
368	0.1441939411
369	0.1439280802
370	0.1437872491
371	0.1435693867
372	0.1433696441
373	0.1431155768
374	0.1428838247
375	0.1427339705
376	0.1425503005
377	0.1424016076
378	0.14220626
379	0.1420261242
380	0.1417488738
381	0.1414945
382	0.1412412446
383	0.1409226453
384	0.1408246677
385	0.1406234224
386	0.1404172245
387	0.1401319926
388	0.1399708679
389	0.139839308
